Dataset,Method,Seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,Method 1,641,0.1585944745267256,0.32469790270271087,0.31937821392705906,0.39097798136556167,0.32469790270271087,0.08122226305162299
10x_human_lymph_node_D1,Method 1,1892,0.1524956766965063,0.32035521972464487,0.3150004930596488,0.38571696236420977,0.32035521972464487,0.08535717316439215
10x_human_lymph_node_D1,Method 1,1173,0.16657565844213945,0.32989866385681277,0.3246186469416699,0.3971731542328924,0.32989866385681277,0.08306704310289927
10x_human_lymph_node_D1,Method 1,69,0.15795581991790641,0.3184009713102541,0.3130254534044903,0.382925530185981,0.3184009713102541,0.07898604661261617
10x_human_lymph_node_D1,Method 1,2024,0.15414550453237416,0.32035188959255007,0.31499315525567695,0.38541248970672154,0.32035188959255007,0.08045786561088925
10x_human_lymph_node_D1,Method 1,231,0.16697026144322263,0.3260936164796843,0.3207766636725372,0.39201019897620837,0.32609361647968427,0.07830735817630839
10x_human_lymph_node_D1,Method 1,1971,0.15798457789628365,0.3239959427280429,0.3186711836680229,0.39018002314538575,0.3239959427280429,0.08197382052677538
10x_human_lymph_node_D1,Method 1,2497,0.15921266845682314,0.3265570425221723,0.3212526402887046,0.3933174641459421,0.3265570425221723,0.08390315485565697
10x_human_lymph_node_D1,Method 1,338,0.15080952789430307,0.3218401300243797,0.31649857523477865,0.38764462188893234,0.3218401300243798,0.08289797102679487
10x_human_lymph_node_D1,Method 1,3127,0.15050019306804002,0.3163599638501422,0.3109757790952532,0.3810615486276862,0.3163599638501422,0.08284077263383664
10x_human_lymph_node_D1,Method 1,2001,0.15985006444670152,0.32053520612310926,0.3151789479022502,0.38565691485479614,0.3205352061231092,0.0806982940908141
10x_human_lymph_node_D1,Method 1,2022,0.15155306554779757,0.32014257706665855,0.31478693721311873,0.3855034174058694,0.32014257706665855,0.08395783567270439
10x_human_lymph_node_D1,Method 1,574,0.16375022116859095,0.3269696502614172,0.32166551202721944,0.39353822244167197,0.3269696502614172,0.07925321766930284
