Dataset,Method,Seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E11_S1,Method 1,338,0.3643450793366393,0.47509802456667855,0.469171990296899,0.549340755584343,0.47509802456667866,0.07957800558969975
Mouse_Brain_E11_S1,Method 1,3127,0.4078521941265507,0.5045675971890012,0.49888612440270746,0.5713088248972618,0.5045675971890012,0.09802885036637407
Mouse_Brain_E11_S1,Method 1,2001,0.3938386307289695,0.4911968770236919,0.48535002056138,0.5540844237551086,0.49119687702369186,0.09385383300947628
Mouse_Brain_E11_S1,Method 1,2022,0.30818598464329755,0.46182477854949194,0.45577381100252945,0.5354392858873291,0.46182477854949194,0.10637010684116745
Mouse_Brain_E11_S1,Method 1,574,0.37384752433686075,0.451299987756696,0.44506706615154046,0.515398349041363,0.451299987756696,0.07313541341791073
Mouse_Brain_E11_S1,Method 1,2428,0.38358469900303943,0.4614413739781297,0.45533738307262533,0.5285154681329371,0.4614413739781297,0.07455425633869188
Mouse_Brain_E11_S1,Method 1,999,0.3772547038247447,0.47163808617045755,0.46564090291511684,0.5412857879375584,0.47163808617045755,0.07360711575064026
Mouse_Brain_E11_S1,Method 1,1187,0.36571298346311915,0.451982751942759,0.4457550840552289,0.5161170143283628,0.45198275194275894,0.07078775433013747
Mouse_Brain_E11_S1,Method 1,42,0.3828776644166542,0.47611386069986245,0.47017429317216997,0.5474962716195754,0.47611386069986245,0.07548259661718171
Mouse_Brain_E11_S1,Method 1,3999,0.38105126181045024,0.46768132455161293,0.4616347746119469,0.5361065876114917,0.46768132455161304,0.07173285343474563
Mouse_Brain_E11_S1,Method 2,13,0.3709247018211644,0.46094684266773184,0.45486421954589407,0.5330334436471357,0.4609468426677319,0.08744082462367132
Mouse_Brain_E11_S1,Method 2,2560,0.3886317434633152,0.4672848158951459,0.4612314401299951,0.5353560620961659,0.4672848158951459,0.07185289018879198
Mouse_Brain_E11_S1,Method 2,641,0.39472160177607746,0.47284865197150366,0.4668603331346599,0.5419352320180291,0.4728486519715037,0.08367658970693627
Mouse_Brain_E11_S1,Method 2,1892,0.38100258835051753,0.46676222247460725,0.4607314119358302,0.5365780442932059,0.4667622224746072,0.08720796546174775
Mouse_Brain_E11_S1,Method 2,1173,0.3881822336018645,0.47166705488516925,0.4656653166926918,0.5403770882149114,0.4716670548851692,0.09661087119639035
Mouse_Brain_E11_S1,Method 2,69,0.3742413408015604,0.47118957990886307,0.46519015645763795,0.5409067776541352,0.4711895799088631,0.0666401070428119
Mouse_Brain_E11_S1,Method 2,2024,0.371882596414546,0.46659032398918665,0.46056399584252844,0.538698671086232,0.4665903239891867,0.08333078870020118
Mouse_Brain_E11_S1,Method 2,231,0.3092752831999633,0.4650140055232213,0.4590119103565428,0.5426017386934832,0.46501400552322136,0.1118831071269393
Mouse_Brain_E11_S1,Method 2,1971,0.39275305822789663,0.4671228744640145,0.4610653698407538,0.534566592446185,0.46712287446401446,0.0882378349853345
Mouse_Brain_E11_S1,Method 2,2497,0.3875521167743881,0.4706618239788418,0.46464571900647716,0.5394210832365085,0.4706618239788418,0.06479048688217237
Mouse_Brain_E11_S1,Method 2,338,0.3699929606168392,0.46403933902359173,0.4579817586751113,0.5337860461149447,0.46403933902359173,0.08885038016573231
Mouse_Brain_E11_S1,Method 2,3127,0.3708920967286935,0.46281295032215825,0.45672231770758026,0.5321154080976521,0.4628129503221582,0.06957098381338521
Mouse_Brain_E11_S1,Method 2,2001,0.37416387331232187,0.46946268078736186,0.46346243336319454,0.5412258095959078,0.46946268078736186,0.08125890852413031
Mouse_Brain_E11_S1,Method 2,2022,0.3901880482782423,0.46382301204036475,0.4577418257026508,0.5325250065747058,0.4638230120403647,0.08837722537289272
Mouse_Brain_E11_S1,Method 2,574,0.3830872782829604,0.4652015697854133,0.4591357976383521,0.534315548289614,0.4652015697854134,0.0796509494726306
Mouse_Brain_E11_S1,Method 2,2428,0.3954927986778344,0.47296973146014304,0.467000304407176,0.5425752347459467,0.47296973146014304,0.08942977243587766
